scientific_name,exotic,native,category
Harpephyllum caffrum,t,Exotic,Exotic
Pistacia chinensis,t,Exotic,Exotic
Toxicodendron succedaneum,t,Exotic,Exotic
Chlorophytum comosum,t,Exotic,Exotic
Apium graveolens,t,Exotic,Exotic
Cyclospermum leptophyllum,t,Exotic,Exotic
Daucus carota,t,Exotic,Exotic
Foeniculum vulgare,t,Exotic,Exotic
Hydrocotyle bonariensis,t,Exotic,Exotic
Araujia sericifera,t,Exotic,Exotic
Asclepias curassavica,t,Exotic,Exotic
Catharanthus roseus,t,Exotic,Exotic
Gomphocarpus fruticosus,t,Exotic,Exotic
Nerium oleander,t,Exotic,Exotic
Plumeria obtusa,t,Exotic,Exotic
Vinca major,t,Exotic,Exotic
Monstera deliciosa,t,Exotic,Exotic
Philodendron bipinnatifidum,t,Exotic,Exotic
Hedera helix,t,Exotic,Exotic
Araucaria heterophylla,t,Exotic,Exotic
Dypsis lutescens,t,Exotic,Exotic
Phoenix canariensis,t,Exotic,Exotic
Phoenix reclinata,t,Exotic,Exotic
Syagrus romanzoffiana,t,Exotic,Exotic
Washingtonia filifera,t,Exotic,Exotic
Aristolochia elegans,t,Exotic,Exotic
Asparagus aethiopicus,t,Exotic,Exotic
Asparagus africanus,t,Exotic,Exotic
Asparagus asparagoides,t,Exotic,Exotic
Asparagus officinalis,t,Exotic,Exotic
Asparagus plumosus,t,Exotic,Exotic
Asparagus scandens,t,Exotic,Exotic
Asparagus virgatus,t,Exotic,Exotic
Dracaena marginata,t,Exotic,Exotic
Asphodelus fistulosus,t,Exotic,Exotic
Cordyline australis,t,Exotic,Exotic
Ageratina adenophora,t,Exotic,Exotic
Ageratina riparia,t,Exotic,Exotic
Ambrosia artemisiifolia,t,Exotic,Exotic
Ambrosia psilostachya,t,Exotic,Exotic
Arctotheca calendula,t,Exotic,Exotic
Bidens pilosa,t,Exotic,Exotic
Bidens subalternans,t,Exotic,Exotic
Bidens tripartita,t,Exotic,Exotic
Centaurea melitensis,t,Exotic,Exotic
Chrysanthemoides monilifera,t,Exotic,Exotic
Cichorium intybus,t,Exotic,Exotic
Cirsium vulgare,t,Exotic,Exotic
Coreopsis lanceolata,t,Exotic,Exotic
Crepis capillaris,t,Exotic,Exotic
Delairea odorata,t,Exotic,Exotic
Dimorphotheca ecklonis,t,Exotic,Exotic
Erigeron karvinskianus,t,Exotic,Exotic
Eriocephalus africanus,t,Exotic,Exotic
Galinsoga parviflora,t,Exotic,Exotic
Gamochaeta calviceps,t,Exotic,Exotic
Gamochaeta coarctata,t,Exotic,Exotic
Gamochaeta purpurea,t,Exotic,Exotic
Gazania rigens,t,Exotic,Exotic
Gnaphalium polycaulon,t,Exotic,Exotic
Hypochaeris albiflora,t,Exotic,Exotic
Hypochaeris glabra,t,Exotic,Exotic
Hypochaeris radicata,t,Exotic,Exotic
Lactuca serriola,t,Exotic,Exotic
Roldana petasitis,t,Exotic,Exotic
Senecio madagascariensis,t,Exotic,Exotic
Senecio pterophorus,t,Exotic,Exotic
Soliva sessilis,t,Exotic,Exotic
Sonchus oleraceus,t,Exotic,Exotic
Tagetes minuta,t,Exotic,Exotic
Taraxacum officinale,t,Exotic,Exotic
Xanthium occidentale,t,Exotic,Exotic
Impatiens walleriana,t,Exotic,Exotic
Anredera cordifolia,t,Exotic,Exotic
Jacaranda mimosifolia,t,Exotic,Exotic
Tecoma capensis,t,Exotic,Exotic
Tecoma stans,t,Exotic,Exotic
Echium plantagineum,t,Exotic,Exotic
Brassica fruticulosa,t,Exotic,Exotic
Brassica juncea,t,Exotic,Exotic
Capsella bursa-pastoris,t,Exotic,Exotic
Cardamine flexuosa,t,Exotic,Exotic
Cardamine hirsuta,t,Exotic,Exotic
Hirschfeldia incana,t,Exotic,Exotic
Lepidium africanum,t,Exotic,Exotic
Lepidium bonariense,t,Exotic,Exotic
Lepidium didymum,t,Exotic,Exotic
Rorippa nasturtium-aquaticum,t,Exotic,Exotic
Sisymbrium officinale,t,Exotic,Exotic
Opuntia elatior,t,Exotic,Exotic
Opuntia stricta,t,Exotic,Exotic
Opuntia tomentosa,t,Exotic,Exotic
Callitriche stagnalis,t,Exotic,Exotic
Lonicera japonica,t,Exotic,Exotic
Cerastium glomeratum,t,Exotic,Exotic
Paronychia brasiliana,t,Exotic,Exotic
Petrorhagia dubia,t,Exotic,Exotic
Petrorhagia nanteuilii,t,Exotic,Exotic
Polycarpon tetraphyllum,t,Exotic,Exotic
Silene gallica,t,Exotic,Exotic
Spergularia diandra,t,Exotic,Exotic
Spergularia levis,t,Exotic,Exotic
